(20, '14-01-24', 'Cagliari', 'Bologna', '2-1', 'Inter', 9, 2)
(20, '14-01-24', 'Fiorentina', 'Udinese', '2-2', 'Inter', 9, 2)
(20, '14-01-24', 'Milan', 'Roma', '3-1', 'Inter', 9, 2)
(20, '15-01-24', 'Atalanta', 'Frosinone', '5-0', 'Inter', 9, 2)
(20, '16-01-24', 'Juventus', 'Sassuolo', '3-0', 'Inter', 9, 2)
(21, '20-01-24', 'Roma', 'Verona', '2-1', 'Inter', 9, 2)
(21, '20-01-24', 'Udinese', 'Milan', '2-3', 'Inter', 9, 2)
(21, '21-01-24', 'Lecce', 'Juventus', '0-3', 'Inter', 9, 2)
(21, '21-01-24', 'Salernitana', 'Genoa', '1-2', 'Inter', 9, 2)
(21, '21-01-24', 'Empoli', 'Monza', '3-0', 'Inter', 9, 2)
(21, '21-01-24', 'Frosinone', 'Cagliari', '3-1', 'Inter', 9, 2)
(21, '14-02-24', 'Bologna', 'Fiorentina', '2-0', 'Inter', 9, 2)
(21, '22-02-24', 'Torino', 'Lazio', '0-2', 'Inter', 9, 2)
(21, '28-02-24', 'Sassuolo', 'Napoli', '1-6', 'Inter', 9, 2)
(21, '28-02-24', 'Inter', 'Atalanta', '4-0', 'Inter', 9, 2)
(22, '26-01-24', 'Cagliari', 'Torino', '1-2', 'Inter', 10, 2)
(22, '27-01-24', 'Juventus', 'Empoli', '1-1', 'Inter', 10, 2)
(22, '27-01-24', 'Atalanta', 'Udinese', '2-0', 'Inter', 10, 2)
(22, '27-01-24', 'Milan', 'Bologna', '2-2', 'Inter', 10, 2)
(22, '28-01-24', 'Fiorentina', 'Inter', '0-1', 'Inter', 10, 2)
(22, '28-01-24', 'Lazio', 'Napoli', '0-0', 'Inter', 11, 2)
(22, '28-01-24', 'Verona', 'Frosinone', '1-1', 'Inter', 11, 2)
(22, '28-01-24', 'Monza', 'Sassuolo', '1-0', 'Inter', 11, 2)
(22, '28-01-24', 'Genoa', 'Lecce', '2-1', 'Inter', 11, 2)
(22, '29-01-24', 'Salernitana', 'Roma', '1-2', 'Inter', 11, 2)
(23, '02-02-24', 'Lecce', 'Fiorentina', '3-2', 'Inter', 11, 2)
(23, '03-02-24', 'Empoli', 'Genoa', '0-0', 'Inter', 11, 2)
(23, '03-02-24', 'Udinese', 'Monza', '0-0', 'Inter', 11, 2)
(23, '03-02-24', 'Frosinone', 'Milan', '2-3', 'Inter', 11, 2)
(23, '03-02-24', 'Bologna', 'Sassuolo', '4-2', 'Inter', 11, 2)
(23, '04-02-24', 'Torino', 'Salernitana', '0-0', 'Inter', 11, 2)
(23, '04-02-24', 'Inter', 'Juventus', '1-0', 'Inter', 11, 2)
(23, '04-02-24', 'Napoli', 'Verona', '2-1', 'Inter', 12, 2)
(23, '04-02-24', 'Atalanta', 'Lazio', '3-1', 'Inter', 12, 2)
(23, '05-02-24', 'Roma', 'Cagliari', '4-0', 'Inter', 12, 2)
(24, '09-02-24', 'Salernitana', 'Empoli', '1-3', 'Inter', 12, 2)
(24, '10-02-24', 'Cagliari', 'Lazio', '1-3', 'Inter', 12, 2)
(24, '10-02-24', 'Sassuolo', 'Torino', '1-1', 'Inter', 12, 2)
(24, '10-02-24', 'Roma', 'Inter', '2-4', 'Inter', 12, 2)
(24, '11-02-24', 'Monza', 'Verona', '0-0', 'Inter', 13, 2)
(24, '11-02-24', 'Genoa', 'Atalanta', '1-4', 'Inter', 13, 2)
(24, '11-02-24', 'Milan', 'Napoli', '1-0', 'Inter', 13, 2)
(24, '11-02-24', 'Bologna', 'Lecce', '4-0', 'Inter', 13, 2)
(24, '11-02-24', 'Fiorentina', 'Frosinone', '5-1', 'Inter', 13, 2)
(24, '12-02-24', 'Juventus', 'Udinese', '0-1', 'Inter', 13, 2)
(25, '16-02-24', 'Torino', 'Lecce', '2-0', 'Inter', 13, 2)
(25, '16-02-24', 'Inter', 'Salernitana', '4-0', 'Inter', 13, 2)
(25, '17-02-24', 'Napoli', 'Genoa', '1-1', 'Inter', 14, 2)
(25, '17-02-24', 'Verona', 'Juventus', '2-2', 'Inter', 14, 2)
(25, '17-02-24', 'Atalanta', 'Sassuolo', '3-0', 'Inter', 14, 2)
(25, '18-02-24', 'Frosinone', 'Roma', '0-3', 'Inter', 14, 2)
(25, '18-02-24', 'Empoli', 'Fiorentina', '1-1', 'Inter', 14, 2)
(25, '18-02-24', 'Lazio', 'Bologna', '1-2', 'Inter', 14, 2)
(25, '18-02-24', 'Udinese', 'Cagliari', '1-1', 'Inter', 14, 2)
(25, '18-02-24', 'Monza', 'Milan', '4-2', 'Inter', 14, 2)
(26, '23-02-24', 'Bologna', 'Verona', '2-0', 'Inter', 14, 2)
(26, '24-02-24', 'Salernitana', 'Monza', '0-2', 'Inter', 14, 2)
(26, '24-02-24', 'Genoa', 'Udinese', '2-0', 'Inter', 14, 2)
(26, '24-02-24', 'Sassuolo', 'Empoli', '2-3', 'Inter', 14, 2)
(26, '25-02-24', 'Lecce', 'Inter', '0-4', 'Inter', 14, 2)
(26, '25-02-24', 'Cagliari', 'Napoli', '1-1', 'Inter', 15, 2)
(26, '25-02-24', 'Milan', 'Atalanta', '1-1', 'Inter', 15, 2)
(26, '25-02-24', 'Juventus', 'Frosinone', '3-2', 'Inter', 15, 2)
(26, '26-02-24', 'Fiorentina', 'Lazio', '2-1', 'Inter', 15, 2)
(26, '26-02-24', 'Roma', 'Torino', '3-2', 'Inter', 15, 2)
(27, '01-03-24', 'Lazio', 'Milan', '0-1', 'Inter', 15, 2)
(27, '02-03-24', 'Torino', 'Fiorentina', '0-0', 'Inter', 15, 2)
(27, '02-03-24', 'Monza', 'Roma', '1-4', 'Inter', 15, 2)
(27, '02-03-24', 'Udinese', 'Salernitana', '1-1', 'Inter', 15, 2)
(27, '03-03-24', 'Empoli', 'Cagliari', '0-1', 'Inter', 15, 2)
(27, '03-03-24', 'Atalanta', 'Bologna', '1-2', 'Inter', 15, 2)
(27, '03-03-24', 'Frosinone', 'Lecce', '1-1', 'Inter', 15, 2)
(27, '03-03-24', 'Verona', 'Sassuolo', '1-0', 'Inter', 15, 2)
(27, '03-03-24', 'Napoli', 'Juventus', '2-1', 'Inter', 15, 2)
(27, '04-03-24', 'Inter', 'Genoa', '2-1', 'Inter', 15, 2)
(28, '08-03-24', 'Napoli', 'Torino', '1-1', 'Inter', 16, 2)
(28, '09-03-24', 'Bologna', 'Inter', '0-1', 'Inter', 16, 2)
(28, '09-03-24', 'Sassuolo', 'Frosinone', '1-0', 'Inter', 17, 2)
(28, '09-03-24', 'Genoa', 'Monza', '2-3', 'Inter', 17, 2)
(28, '09-03-24', 'Cagliari', 'Salernitana', '4-2', 'Inter', 17, 2)
(28, '10-03-24', 'Lecce', 'Verona', '0-1', 'Inter', 17, 2)
(28, '10-03-24', 'Milan', 'Empoli', '1-0', 'Inter', 17, 2)
(28, '10-03-24', 'Fiorentina', 'Roma', '2-2', 'Inter', 17, 2)
(28, '10-03-24', 'Juventus', 'Atalanta', '2-2', 'Inter', 17, 2)
(28, '11-03-24', 'Lazio', 'Udinese', '1-2', 'Inter', 17, 2)
(29, '15-03-24', 'Empoli', 'Bologna', '0-1', 'Inter', 17, 2)
(29, '16-03-24', 'Salernitana', 'Lecce', '0-1', 'Inter', 17, 2)
(29, '16-03-24', 'Udinese', 'Torino', '0-2', 'Inter', 17, 2)
(29, '16-03-24', 'Monza', 'Cagliari', '1-0', 'Inter', 17, 2)
(29, '16-03-24', 'Frosinone', 'Lazio', '2-3', 'Inter', 17, 2)
(29, '17-03-24', 'Juventus', 'Genoa', '0-0', 'Inter', 17, 2)
(29, '17-03-24', 'Verona', 'Milan', '1-3', 'Inter', 17, 2)
(29, '17-03-24', 'Inter', 'Napoli', '1-1', 'Inter', 17, 2)
(29, '17-03-24', 'Roma', 'Sassuolo', '1-0', 'Inter', 17, 2)
(29, '02-06-24', 'Atalanta', 'Fiorentina', '2-3', 'Inter', 17, 2)
(30, '30-03-24', 'Napoli', 'Atalanta', '0-3', 'Inter', 17, 2)
(30, '30-03-24', 'Fiorentina', 'Milan', '1-2', 'Inter', 17, 2)
(30, '30-03-24', 'Genoa', 'Frosinone', '1-1', 'Inter', 17, 2)
(30, '30-03-24', 'Lazio', 'Juventus', '1-0', 'Inter', 17, 2)
(30, '30-03-24', 'Torino', 'Monza', '1-0', 'Inter', 17, 2)
(30, '01-04-24', 'Lecce', 'Roma', '0-0', 'Inter', 17, 2)
(30, '01-04-24', 'Cagliari', 'Verona', '1-1', 'Inter', 17, 2)
(30, '01-04-24', 'Sassuolo', 'Udinese', '1-1', 'Inter', 17, 2)
(30, '01-04-24', 'Inter', 'Empoli', '2-0', 'Inter', 17, 2)
(30, '01-04-24', 'Bologna', 'Salernitana', '3-0', 'Inter', 18, 2)
(31, '05-04-24', 'Salernitana', 'Sassuolo', '2-2', 'Inter', 18, 2)
(31, '06-04-24', 'Roma', 'Lazio', '1-0', 'Inter', 18, 2)
(31, '06-04-24', 'Empoli', 'Torino', '3-2', 'Inter', 18, 2)
(31, '06-04-24', 'Milan', 'Lecce', '3-0', 'Inter', 18, 2)
(31, '07-04-24', 'Frosinone', 'Bologna', '0-0', 'Inter', 18, 2)
(31, '07-04-24', 'Verona', 'Genoa', '1-2', 'Inter', 18, 2)
(31, '07-04-24', 'Juventus', 'Fiorentina', '1-0', 'Inter', 18, 2)
(31, '07-04-24', 'Cagliari', 'Atalanta', '2-1', 'Inter', 18, 2)
(31, '07-04-24', 'Monza', 'Napoli', '2-4', 'Inter', 18, 2)
(31, '08-04-24', 'Udinese', 'Inter', '1-2', 'Inter', 18, 2)
(32, '12-04-24', 'Lazio', 'Salernitana', '4-1', 'Inter', 19, 2)
(32, '13-04-24', 'Bologna', 'Monza', '0-0', 'Inter', 19, 2)
(32, '13-04-24', 'Torino', 'Juventus', '0-0', 'Inter', 19, 2)
(32, '13-04-24', 'Lecce', 'Empoli', '1-0', 'Inter', 19, 2)
